season,striker,runs_in_season,batting_average,strike_rate,rnk_in_szn
2008,"SE Marsh",616,61.6000,140.0000,1
2008,"G Gambhir",534,38.1429,141.2698,2
2008,"ST Jayasuriya",514,39.5385,166.8831,3
2008,"SR Watson",472,47.2000,153.7459,4
2008,"GC Smith",441,36.7500,122.1607,5
2008,"AC Gilchrist",436,33.5385,138.8535,6
2008,"YK Pathan",435,36.2500,182.0084,7
2008,"SK Raina",421,46.7778,143.1973,8
2008,"MS Dhoni",414,37.6364,133.5484,9
2008,"V Sehwag",406,33.8333,187.9630,10
2009,"ML Hayden",572,57.2000,145.5471,1
2009,"AC Gilchrist",495,30.9375,153.7267,2
2009,"AB de Villiers",465,51.6667,131.3559,3
2009,"SK Raina",434,28.9333,141.8301,4
2009,"TM Dilshan",418,41.8000,123.3038,5
2009,"JP Duminy",372,46.5000,114.4615,6
2009,"HH Gibbs",371,33.7273,112.4242,7
2009,"BJ Hodge",365,36.5000,118.1230,8
2009,"SR Tendulkar",364,33.0909,121.7391,9
2009,"RG Sharma",362,27.8462,115.6550,10
2010,"SR Tendulkar",618,47.5385,133.4773,1
2010,"JH Kallis",572,47.6667,116.9734,2
2010,"SK Raina",528,40.6154,145.0549,3
2010,"SC Ganguly",493,37.9231,117.9426,4
2010,"M Vijay",458,38.1667,156.8493,5
2010,"DPMD Jayawardene",445,37.0833,148.8294,6
2010,"A Symonds",429,33.0000,126.1765,7
2010,"SS Tiwary",419,32.2308,136.4821,8
2010,"RG Sharma",404,22.4444,134.6667,9
2010,"NV Ojha",377,31.4167,133.2155,10
2011,"CH Gayle",608,67.5556,183.6858,1
2011,"V Kohli",557,42.8462,121.3508,2
2011,"SR Tendulkar",553,36.8667,113.3197,3
2011,"SE Marsh",504,42.0000,146.9388,4
2011,"MEK Hussey",492,41.0000,119.1283,5
2011,"PC Valthaty",463,35.6154,138.6228,6
2011,"SK Raina",438,31.2857,135.6037,7
2011,"M Vijay",434,27.1250,128.0236,8
2011,"JH Kallis",424,28.2667,112.1693,9
2011,"V Sehwag",424,47.1111,177.4059,9
2012,"CH Gayle",733,61.0833,162.5277,1
2012,"G Gambhir",590,42.1429,143.5523,2
2012,"S Dhawan",569,43.7692,129.9087,3
2012,"AM Rahane",560,40.0000,129.3303,4
2012,"V Sehwag",495,30.9375,161.2378,5
2012,"CL White",479,39.9167,150.1567,6
2012,"R Dravid",462,28.8750,112.1359,7
2012,"SK Raina",441,25.9412,136.1111,8
2012,"RG Sharma",433,30.9286,126.9795,9
2012,"Mandeep Singh",432,24.0000,126.6862,10
2013,"MEK Hussey",733,48.8667,129.7345,1
2013,"CH Gayle",720,60.0000,158.5903,2
2013,"V Kohli",639,45.6429,140.7489,3
2013,"SK Raina",548,45.6667,150.5495,4
2013,"SR Watson",543,38.7857,143.6508,5
2013,"RG Sharma",538,38.4286,131.8627,6
2013,"KD Karthik",510,25.5000,124.6944,7
2013,"AM Rahane",488,32.5333,106.5502,8
2013,"R Dravid",471,29.4375,111.0849,9
2013,"MS Dhoni",461,38.4167,164.6429,10
2014,"RV Uthappa",660,41.2500,138.0753,1
2014,"DR Smith",566,33.2941,136.3855,2
2014,"GJ Maxwell",552,32.4706,189.6907,3
2014,"DA Warner",528,44.0000,142.3181,4
2014,"SK Raina",523,43.5833,146.4986,5
2014,"V Sehwag",455,25.2778,144.9045,6
2014,"DA Miller",446,49.5556,149.1639,7
2014,"JP Duminy",410,51.2500,135.7616,8
2014,"MK Pandey",409,31.4615,119.2420,9
2014,"BB McCullum",405,31.1538,121.6216,10
2015,"DA Warner",562,46.8333,157.8652,1
2015,"AM Rahane",540,49.0909,131.0680,2
2015,"LMP Simmons",540,41.5385,123.2877,2
2015,"AB de Villiers",513,64.1250,176.2887,4
2015,"V Kohli",505,36.0714,130.8290,5
2015,"CH Gayle",491,37.7692,148.3384,6
2015,"RG Sharma",482,32.1333,144.7447,7
2015,"SS Iyer",439,33.7692,128.3626,8
2015,"BB McCullum",436,29.0667,157.9710,9
2015,"KA Pollard",419,41.9000,164.3137,10
2016,"V Kohli",973,81.0833,152.7473,1
2016,"DA Warner",848,53.0000,151.9713,2
2016,"AB de Villiers",687,52.8462,169.6296,3
2016,"G Gambhir",501,41.7500,121.8978,4
2016,"S Dhawan",501,38.5385,117.3302,4
2016,"RG Sharma",489,40.7500,133.6066,6
2016,"AM Rahane",480,36.9231,126.9841,7
2016,"M Vijay",453,37.7500,124.4505,8
2016,"Q de Kock",445,34.2308,136.5031,9
2016,"SK Raina",399,26.6000,127.8846,10
2017,"DA Warner",641,58.2727,142.7617,1
2017,"G Gambhir",498,35.5714,128.0206,2
2017,"S Dhawan",479,36.8462,127.7333,3
2017,"SPD Smith",472,39.3333,121.9638,4
2017,"SK Raina",442,40.1818,145.3947,5
2017,"HM Amla",420,60.0000,146.3415,6
2017,"MK Pandey",396,49.5000,129.4118,7
2017,"KA Pollard",395,28.2143,141.5771,8
2017,"PA Patel",395,21.9444,134.8123,8
2017,"RA Tripathi",391,32.5833,146.4419,10
2018,"KS Williamson",735,49.0000,142.7184,1
2018,"RR Pant",684,45.6000,173.6041,2
2018,"KL Rahul",659,54.9167,158.7952,3
2018,"AT Rayudu",602,43.0000,150.1247,4
2018,"SR Watson",555,42.6923,155.0279,5
2018,"JC Buttler",548,49.8182,155.6818,6
2018,"V Kohli",530,44.1667,139.8417,7
2018,"SA Yadav",512,36.5714,133.3333,8
2018,"KD Karthik",498,55.3333,148.2143,9
2018,"S Dhawan",497,35.5000,137.2928,10
2019,"DA Warner",692,57.6667,143.8669,1
2019,"KL Rahul",593,53.9091,135.6979,2
2019,"Q de Kock",529,37.7857,133.5859,3
2019,"S Dhawan",521,32.5625,136.3874,4
2019,"AD Russell",514,51.4000,206.4257,5
2019,"RR Pant",494,38.0000,163.5762,6
2019,"CH Gayle",490,40.8333,153.6050,7
2019,"SS Iyer",467,29.1875,120.9845,8
2019,"V Kohli",464,33.1429,141.8960,9
2019,"JM Bairstow",445,55.6250,158.3630,10
2020,"KL Rahul",676,45.0667,129.7505,1
2020,"S Dhawan",618,44.1429,145.4118,2
2020,"DA Warner",548,39.1429,134.9754,3
2020,"SS Iyer",519,32.4375,123.8663,4
2020,"Ishan Kishan",516,57.3333,146.1756,5
2020,"Q de Kock",506,33.7333,140.1662,6
2020,"SA Yadav",480,53.3333,145.4545,7
2020,"D Padikkal",473,33.7857,125.1323,8
2020,"V Kohli",471,42.8182,122.6563,9
2020,"AB de Villiers",460,46.0000,160.2787,10
2021,"RD Gaikwad",635,42.3333,137.4459,1
2021,"F du Plessis",633,45.2143,138.8158,2
2021,"KL Rahul",626,69.5556,139.1111,3
2021,"S Dhawan",587,39.1333,124.6285,4
2021,"GJ Maxwell",513,46.6364,144.9153,5
2021,"SV Samson",484,40.3333,137.8917,6
2021,"PP Shaw",479,34.2143,159.6667,7
2021,"Shubman Gill",478,28.1176,119.2020,8
2021,"MA Agarwal",441,36.7500,142.7184,9
2021,"RR Pant",424,32.6154,129.2683,10
2022,"JC Buttler",863,57.5333,150.3484,1
2022,"KL Rahul",616,56.0000,135.6828,2
2022,"Q de Kock",508,33.8667,149.4118,3
2022,"HH Pandya",487,48.7000,131.6216,4
2022,"Shubman Gill",483,32.2000,133.4254,5
2022,"DA Miller",481,53.4444,143.5821,6
2022,"F du Plessis",468,29.2500,127.5204,7
2022,"S Dhawan",460,38.3333,123.6559,8
2022,"SV Samson",458,28.6250,147.2669,9
2022,"DJ Hooda",451,32.2143,137.0821,10
